,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Has_Family
0,0,1.0,0.0,0.275,0.125,0.0,0.014151057562208049,0.0,0.0,1.0,1.0
1,1,0.0,1.0,0.475,0.125,0.0,0.13913573538264068,1.0,0.0,0.0,1.0
2,1,1.0,1.0,0.325,0.0,0.0,0.015468569817999833,0.0,0.0,1.0,0.0
3,1,0.0,1.0,0.4375,0.125,0.0,0.10364429745562033,0.0,0.0,1.0,1.0
4,0,1.0,0.0,0.4375,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
5,0,1.0,0.0,0.35,0.0,0.0,0.01650950209357577,0.0,1.0,0.0,0.0
6,0,0.0,0.0,0.675,0.0,0.0,0.10122885832000206,0.0,0.0,1.0,0.0
7,0,1.0,0.0,0.025,0.375,0.1111111111111111,0.04113566043083236,0.0,0.0,1.0,1.0
8,1,1.0,1.0,0.3375,0.0,0.2222222222222222,0.021730754366528396,0.0,0.0,1.0,1.0
9,1,0.5,1.0,0.175,0.125,0.0,0.058694292654020104,1.0,0.0,0.0,1.0
10,1,1.0,1.0,0.05,0.125,0.1111111111111111,0.03259622914329302,0.0,0.0,1.0,1.0
11,1,0.0,1.0,0.725,0.0,0.0,0.051822148727810165,0.0,0.0,1.0,0.0
12,0,1.0,0.0,0.25,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
13,0,1.0,0.0,0.4875,0.125,0.5555555555555556,0.06104473451835265,0.0,0.0,1.0,1.0
14,0,1.0,1.0,0.175,0.0,0.0,0.015330377421392339,0.0,0.0,1.0,0.0
15,1,0.5,1.0,0.6875,0.0,0.0,0.03122992013728673,0.0,0.0,1.0,0.0
16,0,1.0,0.0,0.025,0.5,0.1111111111111111,0.056848213999904744,0.0,1.0,0.0,1.0
17,1,0.5,0.0,0.35,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
18,0,1.0,1.0,0.3875,0.125,0.0,0.03513366015444757,0.0,0.0,1.0,1.0
19,1,1.0,1.0,0.35,0.0,0.0,0.014102260811993537,1.0,0.0,0.0,0.0
20,0,0.5,0.0,0.4375,0.0,0.0,0.050748620223090936,0.0,0.0,1.0,0.0
